Identifier,Age,Height,Level of studies,Voice type,accent,Hair color,glasses,Body type,Tattoos,Gender,PK,food,JobInvolvement,WorkLifeBalance,jailexp
258,34,155.32,Missing,deep,Boston,brown,No,mesomorph,Yes,Missing,Yes,Burger,VeryHigh,6775,Missing
259,20,200.49,1,mid range,Midwestern American,brown,**??,------->?,Yes,NB,No,Hot Dogs,High,great,**??
260,21,179.76,4,mid range,East Coast City Dialects,blond,Yes,mesomorph,No,F,No,Pizza,Medium,Good,1361
261,**??,187.62,3,high pitched,East Coast City Dialects,black,Yes,ectomorph,Yes,NB,No,Missing,8623,8623,?
262,36,?,4,high pitched,Midwestern American,brown,Yes,mesomorph,Yes,Missing,Yes,Burger,8151,8151,299
263,46,156.83,5,deep,Canadian,blond,No,mesomorph,Yes,M,------->?,Burger,VeryHigh,4953,611
264,36,144.84,6,deep,Cockney,brown,Yes,?,------->?,F,Yes,Missing,8744,8744,------->?
265,22,193.8,1,deep,Midwestern American,white/gray,Yes,mesomorph,No,F,?,Hot Dogs,9352,9352,Missing
266,24,------->?,3,deep,Midwestern American,black,No,mesomorph,No,M,No,Burger,8307,8307,**??
Missing,18,------->?,Missing,deep,?,white/gray,Yes,endomorph,Yes,NB,No,Pizza,9316,9316,697
268,28,154.97,8,deep,Welsh,blond,Yes,mesomorph,No,F,Yes,Hot Dogs,VeryHigh,6202,589
269,18,196.46,4,mid range,Northern Irish,brown,Yes,ectomorph,No,M,No,Burger,Low,Bad,**??
270,50,158.95,4,deep,East Coast City Dialects,blond,Yes,ectomorph,Yes,NB,Yes,Burger,High,great,**??
271,27,165.18,5,mid range,Northern Irish,brown,?,ectomorph,Yes,M,Yes,Apple Pie,Medium,Good,**??
272,24,174.06,0,high pitched,Missing,white/gray,Yes,mesomorph,Yes,M,No,Hot Dogs,8460,8460,------->?
273,31,**??,7,mid range,french,white/gray,No,ectomorph,No,------->?,Yes,Hot Dogs,8567,8567,------->?
274,**??,140.59,8,deep,Northern Irish,blond,Yes,ectomorph,No,M,Yes,Pizza,Medium,Good,?
275,36,162.73,6,deep,Northern Irish,brown,No,ectomorph,No,F,Yes,Burger,VeryHigh,7115,**??
276,21,209.33,0,high pitched,East Coast City Dialects,black,No,ectomorph,Yes,M,No,Burger,VeryHigh,6535,?
277,20,190.09,0,deep,East Coast City Dialects,black,No,ectomorph,Yes,M,No,Pizza,Low,Bad,------->?
278,39,148.3,5,mid range,Yorkshire,blond,Yes,endomorph,Yes,M,Yes,Burger,High,great,**??
279,48,141.41,5,deep,Northern Irish,black,------->?,mesomorph,Yes,Missing,Yes,Burger,8333,8333,113
280,52,152.7,7,mid range,East Coast City Dialects,brown,No,------->?,Yes,M,Yes,Pizza,High,great,------->?
281,35,167.95,------->?,------->?,Southern American,blond,Yes,mesomorph,No,NB,Yes,Burger,VeryHigh,7456,Missing
282,22,177.46,4,high pitched,Midwestern American,white/gray,Yes,ectomorph,No,NB,No,Burger,VeryHigh,7128,------->?
283,32,142.65,4,deep,Canadian,red,Yes,mesomorph,?,M,Yes,Burger,VeryHigh,4336,?
284,22,197,?,Missing,Southern American,white/gray,Yes,mesomorph,No,Missing,No,Hot Dogs,VeryHigh,3612,287
285,37,160.17,6,deep,Missing,brown,Yes,Missing,Yes,M,Yes,Hot Dogs,VeryHigh,7430,129
286,21,203.49,4,mid range,Midwestern American,white/gray,No,**??,Yes,NB,No,Hot Dogs,VeryHigh,3735,**??
287,51,160.28,8,deep,french,------->?,No,ectomorph,No,M,Yes,Burger,Medium,Good,------->?
288,24,180.93,2,**??,Midwestern American,white/gray,No,ectomorph,No,NB,No,Hot Dogs,Low,Bad,**??
289,22,184.86,1,high pitched,Midwestern American,white/gray,No,ectomorph,?,?,No,Hot Dogs,VeryHigh,6898,1093
290,42,153.85,4,mid range,East Coast City Dialects,brown,Yes,mesomorph,Yes,NB,Yes,Burger,Medium,Good,1169
------->?,?,161.28,6,mid range,Northern Irish,brown,Yes,ectomorph,Yes,------->?,Yes,Burger,VeryHigh,6620,1039
**??,27,Missing,8,deep,Boston,Missing,No,endomorph,No,M,**??,Burger,VeryHigh,6433,1165
293,41,165.88,7,high pitched,**??,blond,Yes,ectomorph,Yes,NB,Yes,Hot Dogs,High,great,Missing
294,21,185.74,3,high pitched,Northern Irish,red,Yes,mesomorph,Yes,M,No,Hot Dogs,8172,8172,------->?
295,24,200.86,3,mid range,East Coast City Dialects,white/gray,No,endomorph,Yes,NB,No,**??,8431,8431,------->?
296,18,189.62,0,high pitched,Midwestern American,white/gray,No,------->?,Yes,M,Missing,Hot Dogs,9846,9846,?
297,41,162.25,7,deep,Northern Irish,?,No,endomorph,No,F,Yes,Burger,VeryHigh,7162,**??
298,?,174.47,1,mid range,East Coast City Dialects,Missing,No,endomorph,Yes,M,No,**??,8550,8550,1071
299,20,185.69,1,high pitched,Midwestern American,?,No,endomorph,No,M,No,Burger,High,great,------->?
300,?,147.58,8,deep,french,blond,Yes,?,No,F,Yes,Burger,VeryHigh,7320,?
301,44,168.69,5,deep,Midwestern American,blond,Yes,endomorph,------->?,M,Yes,Burger,High,great,817
?,35,141.45,4,deep,Midwestern American,black,No,mesomorph,No,M,Yes,Burger,9686,9686,**??
303,47,155.9,8,deep,East Coast City Dialects,blond,Yes,ectomorph,Yes,F,Yes,?,Low,Bad,Missing
------->?,56,140.19,8,deep,East Coast City Dialects,white/gray,Yes,mesomorph,Yes,M,Yes,Hot Dogs,8733,8733,------->?
305,48,159.54,8,high pitched,East Coast City Dialects,blond,Yes,endomorph,No,NB,Yes,Burger,VeryHigh,5682,383
306,42,**??,5,------->?,Midwestern American,brown,Yes,ectomorph,Yes,F,Yes,Burger,7807,7807,------->?
307,19,180.84,1,high pitched,East Coast City Dialects,white/gray,Yes,ectomorph,Yes,NB,No,Pizza,8720,8720,1419
?,48,155.21,7,deep,Missing,blond,Yes,mesomorph,Yes,NB,Yes,Burger,VeryHigh,5616,------->?
309,29,165.88,5,deep,Cockney,brown,No,mesomorph,Yes,F,Yes,Burger,VeryHigh,3614,?
310,49,145.49,------->?,deep,East Coast City Dialects,red,------->?,endomorph,**??,NB,Yes,Burger,VeryHigh,3768,929
311,20,171.12,2,high pitched,Boston,black,No,ectomorph,No,M,No,Hot Dogs,VeryHigh,7288,467
312,50,159.59,6,deep,Northern Irish,blond,Yes,ectomorph,Missing,NB,Yes,Burger,VeryHigh,6311,171
313,21,Missing,2,deep,Northern Irish,black,Yes,mesomorph,No,F,No,Burger,VeryHigh,4903,1287
314,19,191.99,0,high pitched,Southern American,white/gray,No,mesomorph,No,M,No,Pizza,Medium,Good,**??
315,27,156.09,7,?,Midwestern American,?,Yes,endomorph,No,Missing,Yes,Apple Pie,High,great,135
316,38,151.97,4,mid range,Northern Irish,------->?,Yes,ectomorph,No,NB,Yes,Pizza,Low,Bad,?
317,44,160.94,6,deep,Missing,blond,Yes,endomorph,No,M,Yes,Apple Pie,Low,Bad,805
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
------->?,?,148.2,7,deep,Yorkshire,white/gray,Yes,ectomorph,Yes,F,Yes,Burger,9651,9651,------->?
323,23,202.07,3,high pitched,Southern American,**??,No,ectomorph,Yes,M,No,Hot Dogs,VeryHigh,4823,1069
324,31,142.06,8,mid range,Boston,brown,Yes,------->?,Yes,NB,Yes,Burger,Medium,Good,373
325,18,199.84,2,high pitched,East Coast City Dialects,red,No,ectomorph,Missing,?,No,?,VeryHigh,6987,915
326,32,145.32,8,mid range,------->?,brown,?,------->?,No,NB,Yes,Pizza,Medium,Good,------->?
327,45,153.63,4,deep,Yorkshire,blond,No,ectomorph,------->?,F,Yes,Hot Dogs,High,great,------->?
328,150,152.13,1000,deep,Northern Irish,white/gray,Yes,ectomorph,Yes,F,Yes,Hot Dogs,VeryHigh,5684,1257
329,41,143.53,8,deep,East Coast City Dialects,brown,Missing,?,No,------->?,Yes,Burger,VeryHigh,5605,711
330,26,164.25,7,------->?,**??,brown,Yes,ectomorph,Yes,F,Yes,**??,VeryHigh,6366,Missing
331,35,154.75,8,**??,Canadian,brown,Yes,mesomorph,No,F,Yes,Apple Pie,Low,Bad,------->?
332,Missing,?,0,Missing,Southern American,brown,No,endomorph,Yes,NB,No,Hot Dogs,VeryHigh,7407,------->?
333,------->?,?,2,mid range,Midwestern American,white/gray,No,mesomorph,Yes,NB,No,Hot Dogs,9081,9081,1191
334,43,167.64,5,deep,East Coast City Dialects,blond,Yes,ectomorph,**??,M,Yes,Apple Pie,VeryHigh,4424,471
335,20,Missing,1,------->?,Italian,black,Yes,mesomorph,Yes,M,No,Burger,9004,9004,911
336,22,203.6,4,mid range,Cockney,red,No,endomorph,Yes,M,No,Hot Dogs,VeryHigh,5802,789
337,46,159.94,6,deep,Northern Irish,blond,**??,endomorph,No,M,Yes,Apple Pie,VeryHigh,7167,613
338,47,161.49,4,deep,------->?,blond,Yes,mesomorph,Yes,M,Yes,?,VeryHigh,4566,Missing
339,31,155.68,7,deep,french,Missing,No,mesomorph,Yes,F,Yes,Apple Pie,9371,9371,Missing
340,43,165.21,8,deep,Southern American,brown,No,mesomorph,No,M,Yes,Burger,9041,9041,27
341,24,193.84,4,high pitched,Northern Irish,red,No,mesomorph,No,M,No,Missing,VeryHigh,5696,81
**??,18,205.37,2,mid range,Welsh,?,No,mesomorph,No,NB,No,Hot Dogs,High,great,357
343,Missing,192.2,1,mid range,Northern Irish,blond,No,mesomorph,?,M,No,Burger,Low,Bad,1343
344,20,203.8,0,mid range,Boston,**??,Yes,mesomorph,No,------->?,No,Hot Dogs,VeryHigh,6439,**??
345,56,162.83,4,deep,East Coast City Dialects,brown,Yes,mesomorph,No,F,Yes,Apple Pie,9213,9213,Missing
346,29,141.99,422,deep,Midwestern American,white/gray,No,ectomorph,Yes,F,Yes,Burger,High,great,**??
347,28,**??,4,**??,East Coast City Dialects,blond,Yes,endomorph,No,F,Yes,?,7754,7754,149
348,48,169.72,8,deep,------->?,------->?,Yes,mesomorph,No,Missing,Yes,Pizza,9040,9040,------->?
349,34,141.17,7,deep,Southern American,brown,No,ectomorph,No,F,Yes,Pizza,9268,9268,**??
350,34,150.01,8,deep,East Coast City Dialects,blond,Yes,mesomorph,No,------->?,Yes,Burger,VeryHigh,5602,1157
351,48,162.02,8,deep,Northern Irish,blond,Yes,mesomorph,Yes,M,Yes,Apple Pie,High,great,1171
352,47,157.7,8,------->?,Cockney,brown,?,ectomorph,Yes,NB,Yes,Burger,VeryHigh,5313,701
?,29,**??,7,deep,Southern American,blond,No,mesomorph,Yes,NB,Yes,Burger,High,great,**??
------->?,**??,195.03,3,deep,Northern Irish,brown,No,mesomorph,Yes,?,**??,Hot Dogs,Medium,Good,89
355,34,162.19,4,deep,**??,brown,Yes,mesomorph,No,?,Yes,Hot Dogs,7811,7811,Missing
356,?,208.6,4,deep,East Coast City Dialects,?,No,mesomorph,Yes,NB,No,Burger,VeryHigh,6274,?
357,18,------->?,3,mid range,Midwestern American,black,Missing,ectomorph,Yes,M,No,------->?,Low,Bad,553
358,25,146.71,5,deep,East Coast City Dialects,blond,Yes,endomorph,Yes,M,Yes,Hot Dogs,VeryHigh,6073,Missing
359,38,167.48,8,deep,Midwestern American,blond,No,mesomorph,Yes,NB,Yes,------->?,VeryHigh,6435,------->?
360,56,149.1,7,deep,Missing,brown,Yes,mesomorph,No,M,Yes,**??,Medium,Good,**??
361,20,197.94,0,high pitched,Southern American,white/gray,Missing,endomorph,No,F,------->?,------->?,8565,8565,?
362,52,160.69,?,deep,Midwestern American,brown,Yes,endomorph,Missing,F,Yes,Burger,Low,Bad,1131
363,24,184.43,3,deep,------->?,dyed,No,mesomorph,Yes,NB,No,------->?,Low,Bad,Missing
364,23,207.61,3,mid range,Midwestern American,black,Yes,ectomorph,Yes,NB,No,Burger,7803,7803,------->?
365,50,160.61,7,deep,East Coast City Dialects,dyed,No,endomorph,No,M,Yes,?,Medium,Good,19
366,56,164.37,6,deep,Northern Irish,brown,Yes,mesomorph,Yes,F,Missing,Hot Dogs,8034,8034,1183
367,40,157.66,6,high pitched,Northern Irish,dyed,No,ectomorph,Yes,NB,Yes,Missing,High,great,1271
368,49,145.72,4,mid range,Northern Irish,**??,Yes,mesomorph,No,M,Yes,Burger,8708,8708,?
369,24,204.29,1,mid range,Southern American,white/gray,No,ectomorph,Yes,M,No,Burger,VeryHigh,7025,**??
370,------->?,153.11,4,Missing,Northern Irish,brown,Yes,endomorph,No,**??,Yes,Pizza,8270,8270,?
371,46,141.31,6,deep,Boston,blond,Yes,mesomorph,No,F,Yes,Burger,Low,Bad,?
372,36,**??,5,mid range,Southern American,brown,No,mesomorph,No,M,Yes,Burger,Medium,Good,665
373,19,203.67,4,mid range,Missing,white/gray,Yes,mesomorph,No,?,No,Burger,High,great,Missing
374,49,151.06,4,deep,Cockney,red,Yes,mesomorph,Yes,F,Yes,Apple Pie,7889,7889,**??
375,19,185.78,3,high pitched,Southern American,black,No,endomorph,Yes,NB,No,Burger,9905,9905,977
376,21,173.31,4,------->?,------->?,white/gray,No,ectomorph,No,M,No,Burger,VeryHigh,6226,1285
377,54,151.55,8,high pitched,Midwestern American,**??,Yes,ectomorph,Yes,?,Yes,------->?,Low,Bad,33
378,------->?,Missing,5,deep,Midwestern American,blond,No,endomorph,?,M,Yes,Pizza,Medium,Good,Missing
379,56,167.27,7,mid range,Midwestern American,brown,No,endomorph,No,F,Yes,Burger,8023,8023,------->?
380,32,164.75,7,high pitched,?,brown,Yes,mesomorph,Yes,NB,Missing,Burger,7709,7709,------->?
381,56,148.16,5,deep,Cockney,blond,No,ectomorph,Yes,M,Yes,?,8353,8353,------->?
382,35,142.2,7,deep,Northern Irish,brown,No,mesomorph,No,?,Yes,Pizza,VeryHigh,3879,?
383,18,177.61,------->?,high pitched,Southern American,black,Yes,ectomorph,No,**??,No,Burger,9454,9454,71
384,44,166.97,Missing,deep,Midwestern American,blond,No,**??,Yes,M,Yes,Burger,Medium,Good,------->?
385,------->?,156.56,8,high pitched,Midwestern American,blond,Yes,ectomorph,Yes,F,Yes,Burger,VeryHigh,4055,229
386,20,183.62,3,Missing,Southern American,white/gray,No,mesomorph,Yes,M,No,Burger,VeryHigh,6022,1005
387,?,172.11,2,deep,Italian,black,No,mesomorph,No,M,No,Burger,VeryHigh,6938,?
388,54,156.74,8,deep,Boston,brown,Yes,ectomorph,No,NB,Yes,Pizza,High,great,Missing
389,21,189.98,0,**??,Cockney,black,No,mesomorph,No,M,No,Hot Dogs,8886,8886,1329
390,31,------->?,7,deep,East Coast City Dialects,black,No,mesomorph,Yes,NB,Yes,Burger,VeryHigh,5473,------->?
391,27,157.72,5,deep,Southern American,brown,Yes,mesomorph,?,NB,Yes,Pizza,Medium,Good,Missing
392,20,**??,3,high pitched,Northern Irish,white/gray,No,mesomorph,No,F,No,Burger,VeryHigh,5589,**??
393,22,190.13,4,deep,?,**??,Yes,mesomorph,No,F,No,Burger,VeryHigh,6359,------->?
?,45,152.47,6,high pitched,french,red,Yes,endomorph,?,F,Yes,Pizza,9404,9404,987
395,22,193.15,3,deep,East Coast City Dialects,------->?,**??,mesomorph,No,M,No,Pizza,VeryHigh,4694,1387
396,52,154.55,7,deep,East Coast City Dialects,blond,No,mesomorph,No,M,Yes,Pizza,Medium,Good,779
397,40,160.07,5,deep,East Coast City Dialects,brown,Yes,mesomorph,No,NB,Yes,Burger,VeryHigh,5788,------->?
?,46,163.7,8,high pitched,Midwestern American,brown,No,mesomorph,No,F,Yes,Burger,Medium,Good,141
399,43,169.14,8,deep,Midwestern American,blond,Yes,**??,Yes,NB,Yes,Pizza,Medium,Good,1003
400,56,?,------->?,**??,Midwestern American,blond,No,ectomorph,No,M,Yes,Burger,9088,9088,?
?,52,155.38,6,deep,Southern American,blond,Yes,?,------->?,M,Yes,Burger,8705,8705,1045
402,39,151.62,6,deep,Northern Irish,black,Yes,endomorph,Yes,NB,Yes,**??,VeryHigh,4718,485
403,23,194.32,**??,high pitched,Midwestern American,Missing,No,?,No,M,No,Burger,Medium,Good,127
404,22,170.6,2,high pitched,Northern Irish,black,No,endomorph,Yes,NB,No,Hot Dogs,Medium,Good,507
405,55,160.62,Missing,high pitched,Southern American,blond,Yes,Missing,No,F,Yes,Hot Dogs,8374,8374,753
406,29,153.46,6,deep,------->?,black,No,mesomorph,No,M,Yes,Burger,VeryHigh,4869,?
?,20,192.21,0,high pitched,East Coast City Dialects,?,------->?,endomorph,No,NB,No,Pizza,VeryHigh,6751,------->?
408,24,201.32,4,mid range,East Coast City Dialects,white/gray,?,mesomorph,No,M,No,?,VeryHigh,6131,685
Missing,31,166.82,?,deep,Midwestern American,blond,Yes,mesomorph,Yes,F,Yes,Pizza,VeryHigh,6498,1185
410,?,161.19,6,high pitched,Midwestern American,brown,Yes,ectomorph,No,M,Yes,?,VeryHigh,5416,699
411,22,171.93,3,mid range,Italian,black,No,ectomorph,No,Missing,Missing,Hot Dogs,High,great,1105
412,38,147.42,7,deep,Northern Irish,blond,Yes,endomorph,------->?,NB,Yes,Pizza,High,great,1269
413,24,183.7,4,mid range,Midwestern American,white/gray,No,endomorph,Yes,NB,No,Burger,Medium,Good,Missing
414,32,155.59,8,deep,Missing,black,Yes,mesomorph,No,M,Missing,Burger,High,great,------->?
415,37,**??,6,mid range,------->?,**??,No,Missing,?,M,?,------->?,7764,7764,**??
416,20,174.31,4,high pitched,East Coast City Dialects,white/gray,No,ectomorph,?,M,No,Missing,Low,Bad,249
417,56,142.32,7,mid range,Canadian,brown,Yes,?,Yes,M,Yes,Burger,7960,7960,1267
418,19,173.66,1,**??,Northern Irish,black,Missing,mesomorph,No,NB,No,Hot Dogs,VeryHigh,5747,247
419,29,156.54,8,deep,**??,brown,No,mesomorph,Yes,M,Yes,**??,VeryHigh,7397,Missing
420,54,?,8,deep,Yorkshire,?,No,ectomorph,------->?,F,Yes,**??,VeryHigh,4300,1047
421,42,141.4,4,deep,Italian,red,Yes,ectomorph,No,F,Yes,Pizza,9315,9315,609
422,31,162.15,?,deep,Scottish,blond,No,mesomorph,Yes,**??,Yes,Burger,High,great,?
423,26,164.58,6,deep,Midwestern American,blond,No,mesomorph,No,M,Yes,Pizza,8660,8660,767
424,54,157.87,4,deep,East Coast City Dialects,blond,Yes,ectomorph,Yes,F,Yes,Pizza,7872,7872,813
425,32,152.86,8,mid range,Missing,brown,Yes,mesomorph,Missing,NB,Yes,Burger,High,great,677
426,42,165.08,7,deep,Yorkshire,Missing,No,endomorph,Yes,------->?,Yes,Pizza,VeryHigh,6529,------->?
427,------->?,?,7,deep,?,brown,Yes,mesomorph,Yes,Missing,Yes,Hot Dogs,High,great,309
428,38,160.4,5,mid range,Midwestern American,blond,Yes,mesomorph,No,M,Yes,Burger,9712,9712,131
------->?,22,179.49,3,?,Southern American,white/gray,No,**??,Yes,M,No,Burger,VeryHigh,5547,1307
430,19,187.26,3,deep,Southern American,black,No,ectomorph,No,M,No,Burger,VeryHigh,7073,1289
431,21,208.43,0,high pitched,Missing,blond,No,Missing,No,M,No,Burger,VeryHigh,7423,41
432,18,207.49,0,**??,Southern American,black,No,ectomorph,**??,NB,No,Pizza,VeryHigh,4765,995
433,19,206.72,1,deep,East Coast City Dialects,white/gray,Yes,ectomorph,Yes,M,No,Hot Dogs,High,great,719
434,18,201.86,1,mid range,Midwestern American,black,Yes,mesomorph,Yes,M,No,Hot Dogs,High,great,925
435,27,148.61,4,deep,East Coast City Dialects,white/gray,Yes,mesomorph,No,M,Yes,Burger,VeryHigh,5156,**??
436,35,162.94,**??,deep,Midwestern American,brown,No,endomorph,No,F,Yes,Burger,VeryHigh,6456,Missing
437,------->?,204.35,0,high pitched,Southern American,white/gray,No,endomorph,No,M,No,Hot Dogs,VeryHigh,4656,Missing
438,18,205.92,0,high pitched,Northern Irish,black,No,**??,No,F,No,Burger,VeryHigh,4978,425
439,42,157.55,4,mid range,Italian,brown,Yes,endomorph,No,NB,Yes,**??,High,great,1199
440,22,172.36,3,high pitched,------->?,black,No,ectomorph,Yes,M,No,?,Medium,Good,363
441,37,161.38,6,deep,Northern Irish,Missing,Yes,ectomorph,No,M,Yes,Hot Dogs,High,great,------->?
442,48,166.41,4,deep,Italian,brown,Yes,mesomorph,No,M,Yes,Burger,7557,7557,?
443,36,156.19,6,deep,Northern Irish,blond,No,mesomorph,Yes,M,Yes,Burger,High,great,1443
444,23,187.5,0,deep,french,black,No,------->?,No,M,No,Pizza,VeryHigh,4556,**??
445,18,193.44,4,mid range,East Coast City Dialects,------->?,No,?,No,------->?,No,Burger,7981,7981,?
446,19,191.64,3,mid range,Midwestern American,white/gray,Missing,mesomorph,No,NB,No,Apple Pie,Low,Bad,?
447,20,179.87,2,deep,french,white/gray,Yes,endomorph,Yes,F,No,Burger,Medium,Good,405
448,24,208.37,1,high pitched,Boston,black,No,ectomorph,Yes,NB,No,Hot Dogs,Low,Bad,Missing
449,Missing,?,3,high pitched,Midwestern American,black,No,mesomorph,No,M,No,Hot Dogs,VeryHigh,5380,807
450,21,178.64,0,high pitched,Midwestern American,white/gray,No,mesomorph,Yes,M,No,Hot Dogs,Low,Bad,Missing
451,19,194.33,**??,mid range,Welsh,white/gray,No,endomorph,Yes,Missing,No,?,VeryHigh,7179,623
452,23,208.84,3,high pitched,East Coast City Dialects,black,Yes,mesomorph,Yes,NB,No,Pizza,Low,Bad,?
453,23,204.05,2,mid range,East Coast City Dialects,black,No,ectomorph,No,M,No,Hot Dogs,VeryHigh,4117,201
454,44,156.34,8,deep,Yorkshire,brown,Yes,endomorph,Yes,F,Yes,Burger,High,great,393
455,31,160.19,Missing,deep,Canadian,blond,Yes,endomorph,Yes,NB,Yes,Burger,VeryHigh,4279,945
456,25,168.29,------->?,deep,Welsh,black,Yes,ectomorph,No,M,Yes,Burger,9327,9327,371
457,32,155.6,8,deep,Northern Irish,brown,Yes,mesomorph,Yes,M,Yes,Burger,Medium,Good,------->?
458,39,Missing,6,deep,Boston,blond,No,ectomorph,Yes,F,Yes,Burger,9019,9019,------->?
459,21,189.28,3,mid range,Midwestern American,brown,No,mesomorph,No,NB,No,?,VeryHigh,4357,?
460,51,145.56,7,deep,Scottish,blond,Yes,mesomorph,No,Missing,Yes,Apple Pie,High,great,------->?
461,23,201.59,3,?,Midwestern American,white/gray,No,mesomorph,Yes,Missing,No,Pizza,Low,Bad,**??
462,21,**??,3,high pitched,?,black,Yes,endomorph,No,------->?,No,Burger,VeryHigh,5013,673
463,21,188.54,------->?,mid range,Southern American,white/gray,No,mesomorph,?,F,No,Hot Dogs,Medium,Good,101
464,51,155.37,7,deep,Canadian,brown,Yes,ectomorph,Yes,M,Yes,Burger,Medium,Good,Missing
465,24,------->?,4,mid range,Northern Irish,white/gray,**??,endomorph,Missing,M,No,Hot Dogs,VeryHigh,4113,------->?
466,20,192.49,4,mid range,Midwestern American,black,No,mesomorph,No,F,No,Hot Dogs,High,great,515
467,**??,200.77,2,high pitched,East Coast City Dialects,white/gray,No,mesomorph,Yes,F,**??,**??,Medium,Good,------->?
468,20,181.89,2,mid range,East Coast City Dialects,brown,?,ectomorph,Yes,F,No,Pizza,9727,9727,535
469,20,200.93,1,deep,East Coast City Dialects,black,No,mesomorph,------->?,NB,**??,Hot Dogs,VeryHigh,4426,221
470,49,153.97,5,Missing,Midwestern American,Missing,Yes,ectomorph,Missing,F,Yes,Burger,VeryHigh,3948,545
471,33,------->?,4,high pitched,Northern Irish,brown,Yes,------->?,Yes,M,Yes,Pizza,VeryHigh,7228,?
472,52,169.62,8,deep,Boston,brown,Yes,mesomorph,Yes,M,Yes,Burger,VeryHigh,6966,?
473,31,148.77,4,deep,Southern American,blond,Yes,endomorph,No,F,------->?,Burger,VeryHigh,7176,627
474,20,179.76,1,high pitched,?,white/gray,No,mesomorph,No,F,No,Burger,Medium,Good,Missing
475,------->?,145.71,4,deep,Italian,brown,No,ectomorph,No,M,Yes,Burger,Low,Bad,231
476,36,165.18,6,deep,East Coast City Dialects,brown,No,**??,Yes,M,Yes,Pizza,9704,9704,------->?
477,19,186.14,------->?,mid range,Missing,Missing,?,mesomorph,No,M,No,Pizza,9008,9008,1225
478,46,149.83,5,deep,Southern American,blond,No,mesomorph,No,F,Yes,Apple Pie,8061,8061,Missing
479,50,142.81,5,mid range,Italian,brown,?,mesomorph,**??,M,Yes,Pizza,High,great,**??
480,41,152.89,4,deep,Northern Irish,blond,Yes,ectomorph,Yes,NB,Yes,**??,VeryHigh,6664,1173
481,36,143.32,4,high pitched,East Coast City Dialects,brown,Yes,ectomorph,No,NB,Yes,Burger,High,great,?
482,24,189.35,3,deep,french,white/gray,Yes,ectomorph,Yes,M,No,Burger,VeryHigh,4710,277
483,33,148.65,7,?,?,blond,Yes,ectomorph,Yes,NB,Yes,Burger,Low,Bad,1487
484,19,**??,3,high pitched,Midwestern American,black,Yes,ectomorph,Yes,Missing,No,Burger,VeryHigh,7177,------->?
485,48,158.31,7,mid range,Midwestern American,white/gray,------->?,ectomorph,No,M,Yes,------->?,9183,9183,?
486,53,156.32,6,------->?,East Coast City Dialects,blond,No,mesomorph,Yes,F,Yes,?,8010,8010,1167
487,48,148.68,5,deep,East Coast City Dialects,brown,Yes,mesomorph,No,NB,Yes,Burger,Low,Bad,------->?
488,37,165.79,6,**??,french,brown,Yes,endomorph,?,F,Yes,Missing,9685,9685,Missing
489,?,152.57,8,deep,Cockney,brown,Yes,ectomorph,No,M,Yes,Burger,Medium,Good,1197
490,46,153.54,8,high pitched,Southern American,red,Yes,endomorph,Yes,F,Yes,Burger,High,great,------->?
491,18,171.22,1,------->?,Northern Irish,black,------->?,ectomorph,Yes,F,No,Burger,High,great,449
492,27,150.44,8,deep,East Coast City Dialects,brown,Yes,endomorph,No,NB,Yes,Burger,VeryHigh,6488,Missing
?,51,168.46,6,high pitched,Southern American,blond,Yes,ectomorph,Yes,NB,Yes,Apple Pie,VeryHigh,4729,1477
494,20,180.84,?,high pitched,Midwestern American,black,No,endomorph,No,M,No,Pizza,8469,8469,1325
495,22,175.35,1,high pitched,Italian,white/gray,No,ectomorph,Yes,M,No,Pizza,7931,7931,527
496,40,?,5,high pitched,Southern American,blond,Yes,ectomorph,Missing,F,Yes,Hot Dogs,8675,8675,563
497,36,167.4,4,deep,Welsh,brown,Yes,mesomorph,Yes,F,Yes,Burger,High,great,------->?
498,43,167.46,4,deep,Northern Irish,blond,Yes,ectomorph,Yes,NB,Yes,Burger,High,great,Missing
499,52,149.37,5,deep,Northern Irish,brown,Yes,mesomorph,No,**??,Yes,Apple Pie,VeryHigh,5520,417
500,34,155.28,7,deep,Scottish,brown,Yes,ectomorph,Yes,M,Yes,Pizza,9391,9391,------->?
501,18,171.96,**??,mid range,?,black,No,mesomorph,Yes,M,No,Hot Dogs,Medium,Good,295
502,52,158.76,7,mid range,East Coast City Dialects,black,No,mesomorph,Yes,**??,Yes,Burger,VeryHigh,3811,759
503,52,167.64,7,deep,Northern Irish,brown,Yes,mesomorph,No,M,Yes,Burger,Medium,Good,------->?
504,23,190.92,2,high pitched,Southern American,black,No,?,No,NB,No,Burger,8414,8414,1009
505,26,144.32,4,deep,Yorkshire,blond,Yes,mesomorph,No,------->?,Yes,Burger,VeryHigh,6563,------->?
506,47,151.83,5,deep,**??,blond,**??,mesomorph,Yes,F,Yes,Burger,Low,Bad,501
507,32,166.25,5,deep,Yorkshire,blond,No,ectomorph,No,F,Yes,**??,VeryHigh,5399,Missing
508,24,180.93,1,high pitched,East Coast City Dialects,dyed,Yes,ectomorph,Yes,M,No,Burger,8376,8376,1465
509,42,152.01,8,mid range,Southern American,black,Yes,mesomorph,Yes,?,Yes,Burger,Medium,Good,?
